UKPRN,HE Provider,Bahrain,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Occupied Palestinian Territories {formerly West Bank (including East Jerusalem) and Gaza Strip},Oman,Qatar,Saudi Arabia,Syria,United Arab Emirates,Yemen,Middle East not otherwise specified,Total Middle East,Total
10003678,Kingston University,10,70,10,5,25,40,25,0,5,10,65,5,60,0,0,325,"6,200"
10003758,LAMDA Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175
10007768,The University of Lancaster,5,15,0,0,5,10,0,0,10,15,70,0,60,0,0,200,"5,245"
10066551,LCCM AU UK Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10003854,Leeds Arts University,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,215
10003861,Leeds Beckett University,50,5,5,0,10,150,5,0,25,25,15,0,40,0,0,330,"3,270"
10003798,Le Cordon Bleu Limited,0,0,0,10,0,0,5,0,0,0,5,0,5,0,0,30,385
10034449,Leeds Conservatoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
10007795,The University of Leeds,50,35,20,0,45,275,20,5,175,55,335,0,270,0,0,"1,285","11,125"
10003863,Leeds Trinity University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
10082828,College of Legal Practice Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10007796,The University of Leicester,5,5,15,0,5,10,5,0,20,15,130,0,45,0,0,265,"5,185"
10007151,The University of Lincoln,0,15,0,0,5,25,0,0,5,15,5,0,15,0,0,95,"2,310"
10036456,Academy of Live Technology Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003956,Liverpool Hope University,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,345
10003957,Liverpool John Moores University,25,15,15,0,10,30,10,0,55,135,95,0,60,0,0,460,"1,925"
10003945,The Liverpool Institute for Performing Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225
10006842,The University of Liverpool,15,20,10,0,25,195,5,0,170,85,230,5,95,0,0,855,"6,975"
10003958,Liverpool School of Tropical Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,90
10007162,"University of the Arts, London",10,15,0,15,10,15,40,0,5,10,40,0,95,0,0,245,"12,060"
10007769,London Business School,0,5,0,20,0,5,15,0,0,0,25,0,50,0,0,125,"1,875"
10007797,University of London (Institutes and activities),0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,505
10039082,City and Guilds of London Art School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
10004036,London Film School Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,295
10015506,The London College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10004048,London Metropolitan University,0,20,0,0,0,0,5,0,0,0,5,0,10,0,0,40,"1,575"
10004078,London South Bank University,0,10,5,0,10,220,10,0,5,5,10,0,15,0,0,280,"3,025"
10004063,London School of Economics and Political Science,15,20,0,15,15,10,40,5,0,10,30,0,85,0,0,240,"8,520"
10007771,London School of Hygiene and Tropical Medicine,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,20,585
10004075,London School of Theology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,80
10004079,London Studio Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
10062810,The London School of Architecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10008289,The London Institute of Banking & Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
10004035,The Film Education Training Trust Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,105
10067623,The London Interdisciplinary School Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10004113,Loughborough University,5,15,0,0,15,10,10,5,5,20,45,0,110,0,0,240,"3,805"
10009612,Luther King House Educational Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10004180,The Manchester Metropolitan University,35,15,0,0,0,230,5,0,35,10,50,0,60,0,0,445,"2,890"
10007798,The University of Manchester,20,60,10,10,50,270,40,10,80,30,525,0,235,5,0,"1,345","18,170"
10009527,Istituto Marangoni Limited,5,0,0,10,10,0,15,0,0,0,5,0,10,0,0,55,"1,110"
10023452,The Markfield Institute of Higher Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10020416,Missio Dei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
