UKPRN,HE Provider,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde,Central African Republic,Chad,Comoros,Congo,Congo (Democratic Republic) {formerly Zaire},Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,"Gambia, The",Ghana,Guinea,Guinea-Bissau,Ivory Coast,Kenya,Kingdom of eSwatini,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome And Principe,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,"St Helena, Ascension and Tristan da Cunha",Sudan,Swaziland,Tanzania,Togo,Tunisia,Uganda,Western Sahara,Zambia,Zimbabwe,Africa not otherwise specified,Total Africa,Total
10023464,Trinity College Bristol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000961,Brunel University London,15,5,0,5,0,0,0,0,0,0,0,0,5,0,25,0,0,5,0,0,110,0,0,5,80,0,0,0,0,0,0,0,0,15,15,0,0,0,150,5,0,0,0,0,0,30,0,0,5,0,50,0,5,40,0,0,15,0,600,"5,640"
10000975,Buckinghamshire New University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,935
10007787,The University of Buckingham,5,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,15,0,0,0,25,0,0,0,0,0,0,0,0,10,0,0,0,0,130,0,0,0,0,0,0,15,0,0,0,0,5,0,0,10,0,0,0,0,235,"1,005"
10010308,Cambridge Arts and Sciences Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
10007788,The University of Cambridge,0,0,0,5,0,0,5,0,0,0,0,0,0,0,15,0,0,0,0,0,10,0,0,0,15,0,0,0,0,0,0,0,0,5,5,0,0,0,40,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,5,10,0,165,"7,270"
10032072,The Cambridge Theological Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10003324,The Institute of Cancer Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
10001143,Canterbury Christ Church University,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,105,685
10007814,Cardiff University,5,0,0,5,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,15,0,0,0,50,0,0,0,40,0,5,0,0,5,5,0,0,0,75,0,0,0,0,0,0,5,0,0,5,0,5,0,0,10,0,10,5,0,295,"7,725"
10007854,Cardiff Metropolitan University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,20,0,0,0,270,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,10,0,360,"1,870"
10057213,CEG UFP Limited,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,470
10007141,The University of Central Lancashire,5,0,0,25,0,0,5,0,0,0,0,0,0,0,30,0,0,0,0,0,15,0,0,0,45,0,0,0,10,0,5,0,0,20,5,0,0,0,260,0,0,0,0,0,0,20,0,0,0,0,5,0,0,10,0,5,20,0,500,"5,630"
10024024,Central Film School London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
