UKPRN,HE Provider,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Falkland Islands,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela,South America not otherwise specified,Total South America,Total
10082828,College of Legal Practice Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10007796,The University of Leicester,0,0,5,5,5,0,0,0,0,0,0,0,0,0,10,"5,185"
10007151,The University of Lincoln,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,"2,310"
10036456,Academy of Live Technology Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003956,Liverpool Hope University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345
10003957,Liverpool John Moores University,0,0,5,0,5,5,0,5,0,5,0,0,0,0,20,"1,925"
10003945,The Liverpool Institute for Performing Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225
10006842,The University of Liverpool,0,0,5,5,5,5,0,0,0,5,0,0,5,0,30,"6,975"
10003958,Liverpool School of Tropical Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
10007162,"University of the Arts, London",10,0,50,10,25,5,0,0,0,10,0,0,0,0,105,"12,060"
10007769,London Business School,25,0,45,35,25,0,0,0,0,35,0,5,0,0,165,"1,875"
10007797,University of London (Institutes and activities),5,0,5,0,0,0,0,0,0,0,0,0,0,0,10,505
10039082,City and Guilds of London Art School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
10004036,London Film School Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295
10015506,The London College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10004048,London Metropolitan University,0,0,5,0,5,0,0,0,0,0,0,0,0,0,10,"1,575"
10004078,London South Bank University,0,0,5,0,0,0,0,0,0,5,0,0,0,0,15,"3,025"
10004063,London School of Economics and Political Science,20,0,65,60,60,5,0,0,5,45,0,0,0,0,265,"8,520"
10007771,London School of Hygiene and Tropical Medicine,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,585
10004075,London School of Theology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
10004079,London Studio Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
10062810,The London School of Architecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10008289,The London Institute of Banking & Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
10004035,The Film Education Training Trust Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
10067623,The London Interdisciplinary School Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10004113,Loughborough University,0,0,5,0,5,5,0,0,0,5,0,0,5,0,30,"3,805"
10009612,Luther King House Educational Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10004180,The Manchester Metropolitan University,0,0,5,5,5,5,0,0,0,5,0,0,0,0,30,"2,890"
10007798,The University of Manchester,5,5,35,50,30,25,0,0,5,55,0,0,5,0,220,"18,170"
10009527,Istituto Marangoni Limited,0,0,20,5,10,5,0,0,0,10,0,0,0,0,45,"1,110"
10023452,The Markfield Institute of Higher Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10020416,Missio Dei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10030776,St Mellitus College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10004320,The Metanoia Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10004351,Middlesex University,0,0,10,0,5,0,0,0,0,5,0,0,0,0,25,"4,600"
10032277,The Minster Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10049370,MLA College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10004450,Mountview Academy of Theatre Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
10023454,Moorlands College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
10000216,All Nations Christian College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
10004538,Nazarene Theological College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10023456,Newbold College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
10007799,Newcastle University,0,0,5,5,10,15,0,0,0,5,0,0,5,0,50,"6,215"
10048199,Northeastern University London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
10008397,Norland College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10007138,The University of Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"4,465"
10001282,University of Northumbria at Newcastle,0,0,5,5,20,20,0,0,0,5,0,0,0,0,55,"8,010"
10004775,Norwich University of the Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185
10007154,University of Nottingham,5,5,20,20,10,5,0,0,0,10,0,0,5,0,80,"8,285"
10004797,The Nottingham Trent University,0,5,5,5,5,10,0,0,0,10,0,0,0,0,40,"6,595"
10007773,The Open University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,430
10004930,Oxford Brookes University,0,0,15,0,0,0,0,0,0,0,0,0,5,0,25,"3,335"
10007774,The University of Oxford,15,0,55,35,40,5,0,0,5,35,0,5,0,0,200,"9,265"
10066143,Paris Dauphine International,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
10005127,Arts University Plymouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
10007801,University of Plymouth,0,0,5,5,0,0,0,0,0,5,0,0,0,0,10,"2,355"
10019178,Point Blank Music School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,190
10007155,The University of Portsmouth,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,"6,785"
10083476,The Prince's Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10005337,"Queen Margaret University, Edinburgh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,185"
10007775,Queen Mary University of London,10,0,45,10,20,0,0,0,0,10,0,0,0,0,95,"8,935"
10009292,Royal Academy of Dramatic Art,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
10005544,Royal Academy of Dance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
10005389,Ravensbourne University London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315
10005470,"Richmond, The American International University in London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,465
10007802,The University of Reading,5,0,5,10,5,5,0,0,0,0,0,0,0,0,35,"3,925"
10086591,Regent's University London Limited,0,0,20,0,5,0,0,0,5,0,0,0,5,0,35,"1,445"
10021100,Regents Theological College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10062833,Raindance Educational Services Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10008455,Regent College London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
10005500,Robert Gordon University,0,0,5,0,0,0,0,0,0,0,0,0,5,0,20,"3,470"
10007776,Roehampton University,5,0,10,5,10,5,0,0,0,5,0,0,5,0,40,"3,685"
10005523,Rose Bruford College of Theatre and Performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,180
10007835,Royal Academy of Music,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,380
10005545,Royal Agricultural University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185
10007777,Royal College of Art,0,0,0,5,0,0,0,0,0,5,0,0,0,0,15,"1,880"
10007778,Royal College of Music,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,540
10005561,Royal Conservatoire of Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385
10007816,The Royal Central School of Speech and Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,290
10005553,Royal Holloway and Bedford New College,5,0,5,0,0,0,0,0,0,5,0,0,5,0,20,"2,610"
10007837,Royal Northern College of Music,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,275
10007779,The Royal Veterinary College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755
10007803,The University of St. Andrews,5,0,25,5,5,5,0,0,5,10,0,0,0,0,55,"5,425"
