ukprn,he_provider,year,country,students,school_lat,school_lon,country_lat,country_lon
10007793.0,University of South Wales,2020/2021,austria,5,51.5860894,-2.990616,47.59397,14.12456
10007163.0,The University of Warwick,2020/2021,austria,45,34.072792994445145,-118.16620014398012,47.59397,14.12456
10007164.0,"University of the West of England, Bristol",2020/2021,austria,5,51.50076785,-2.5503106339491204,47.59397,14.12456
10007800.0,The University of the West of Scotland,2020/2021,austria,5,56.4583936,-2.97443952793637,47.59397,14.12456
10006566.0,The University of West London,2020/2021,austria,15,51.5070185,-0.3028075365414086,47.59397,14.12456
10007165.0,The University of Westminster,2020/2021,austria,25,51.5168987,-0.1433051680871159,47.59397,14.12456
10007166.0,The University of Wolverhampton,2020/2021,austria,5,52.5719739,-1.9699298,47.59397,14.12456
10007833.0,Wrexham University,2020/2021,austria,5,53.0534759,-3.0047901266461725,47.59397,14.12456
10007167.0,The University of York,2020/2021,austria,20,40.80775585,-73.96161411567529,47.59397,14.12456
10008071.0,AA School of Architecture,2020/2021,belgium,5,9.0129509,38.729008,50.6402809,4.6667145
10007783.0,The University of Aberdeen,2020/2021,belgium,35,57.1639306,-2.100875776271873,50.6402809,4.6667145
10007849.0,Abertay University,2020/2021,belgium,5,56.4631526,-2.97467889452203,50.6402809,4.6667145
10007856.0,Aberystwyth University,2020/2021,belgium,10,52.41554955,-4.065054179671381,50.6402809,4.6667145
10000163.0,AECC University College,2020/2021,belgium,10,50.7277694,-1.828112718200746,50.6402809,4.6667145
10000291.0,Anglia Ruskin University,2020/2021,belgium,10,52.20338815,0.1350225704824107,50.6402809,4.6667145
10003212.0,Hult International Business School Ltd,2020/2021,belgium,20,0.0,0.0,50.6402809,4.6667145
10007759.0,Aston University,2020/2021,belgium,15,52.48619045,-1.888468930261664,50.6402809,4.6667145
10007857.0,Bangor University,2020/2021,belgium,10,53.2300234,-4.13008199555879,50.6402809,4.6667145
10000571.0,Bath Spa University,2020/2021,belgium,10,51.374858,-2.438714578176041,50.6402809,4.6667145
10007850.0,The University of Bath,2020/2021,belgium,65,43.674218,-79.3995879,50.6402809,4.6667145
10007152.0,University of Bedfordshire,2020/2021,belgium,5,51.87773245,-0.4100516576576037,50.6402809,4.6667145
10005343.0,Queen's University Belfast,2020/2021,belgium,5,54.5842881,-5.933656245995208,50.6402809,4.6667145
10037544.0,BIMM University,2020/2021,belgium,10,51.4795566,-0.1960698,50.6402809,4.6667145
10007760.0,Birkbeck College,2020/2021,belgium,15,51.52184485,-0.130215506706738,50.6402809,4.6667145
10007140.0,Birmingham City University,2020/2021,belgium,10,52.4822706,-1.8888147987150583,50.6402809,4.6667145
10006840.0,The University of Birmingham,2020/2021,belgium,30,52.4350159,-1.947159562796694,50.6402809,4.6667145
10000712.0,University College Birmingham,2020/2021,belgium,5,52.481672,-1.906137438079171,50.6402809,4.6667145
10006841.0,The University of Bolton,2020/2021,belgium,10,53.57142575,-2.4264782591265446,50.6402809,4.6667145
10000385.0,The Arts University Bournemouth,2020/2021,belgium,10,50.7418816,-1.8976735,50.6402809,4.6667145
10000824.0,Bournemouth University,2020/2021,belgium,5,50.7230558,-1.864860039740045,50.6402809,4.6667145
10031982.0,BPP University,2020/2021,belgium,15,51.50537905,-0.2233795030670667,50.6402809,4.6667145
10007785.0,The University of Bradford,2020/2021,belgium,5,0.0,0.0,50.6402809,4.6667145
10000886.0,The University of Brighton,2020/2021,belgium,25,0.0,0.0,50.6402809,4.6667145
10007786.0,The University of Bristol,2020/2021,belgium,40,51.50076785,-2.5503106339491204,50.6402809,4.6667145
10000961.0,Brunel University London,2020/2021,belgium,15,51.5326092,-0.4740498907267291,50.6402809,4.6667145
10000975.0,Buckinghamshire New University,2020/2021,belgium,25,51.62782205,-0.75343598276741,50.6402809,4.6667145
10007788.0,The University of Cambridge,2020/2021,belgium,60,52.1867003,0.1365079636390316,50.6402809,4.6667145
10001143.0,Canterbury Christ Church University,2020/2021,belgium,5,51.2791824,1.090362831802724,50.6402809,4.6667145
10007814.0,Cardiff University,2020/2021,belgium,25,51.4876641,-3.17916036266798,50.6402809,4.6667145
10007141.0,The University of Central Lancashire,2020/2021,belgium,5,0.0,0.0,50.6402809,4.6667145
10007137.0,The University of Chichester,2020/2021,belgium,5,0.0,0.0,50.6402809,4.6667145
10001478.0,"City, University of London",2020/2021,belgium,40,51.527658200000005,-0.103524473356483,50.6402809,4.6667145
10001653.0,Conservatoire for Dance and Drama,2020/2021,belgium,5,0.0,0.0,50.6402809,4.6667145
10007761.0,Courtauld Institute of Art,2020/2021,belgium,5,51.51149315,-0.1177288758263113,50.6402809,4.6667145
10001726.0,Coventry University,2020/2021,belgium,45,52.4056372,-1.4997222676795412,50.6402809,4.6667145
10007822.0,Cranfield University,2020/2021,belgium,10,52.0701329,-0.6287023427161589,50.6402809,4.6667145
10006427.0,University for the Creative Arts,2020/2021,belgium,10,51.2162625,-0.8060567021382656,50.6402809,4.6667145
10001883.0,De Montfort University,2020/2021,belgium,10,52.63047175,-1.1402281049813487,50.6402809,4.6667145
10007851.0,University of Derby,2020/2021,belgium,5,52.937954700000006,-1.497999105195924,50.6402809,4.6667145
10007852.0,The University of Dundee,2020/2021,belgium,25,56.45796755,-2.9821483135375493,50.6402809,4.6667145
10007143.0,University of Durham,2020/2021,belgium,40,54.7743725,-1.5766714,50.6402809,4.6667145
10007789.0,The University of East Anglia,2020/2021,belgium,30,51.5075713,0.0641476,50.6402809,4.6667145
10007144.0,The University of East London,2020/2021,belgium,10,51.5075713,0.0641476,50.6402809,4.6667145
10007772.0,Edinburgh Napier University,2020/2021,belgium,15,55.93110635,-3.2093902303057424,50.6402809,4.6667145
10007790.0,The University of Edinburgh,2020/2021,belgium,105,55.94836645,-3.185681320007981,50.6402809,4.6667145
10007791.0,The University of Essex,2020/2021,belgium,30,51.538100850000006,0.7123974191663069,50.6402809,4.6667145
10002313.0,ESCP Europe Business School,2020/2021,belgium,5,0.0,0.0,50.6402809,4.6667145
10007792.0,The University of Exeter,2020/2021,belgium,70,0.0,0.0,50.6402809,4.6667145
10008640.0,Falmouth University,2020/2021,belgium,10,50.1489643,-5.07044720681594,50.6402809,4.6667145
10007762.0,Glasgow Caledonian University,2020/2021,belgium,5,55.86746635,-4.250245389417843,50.6402809,4.6667145
10002681.0,Glasgow School of Art,2020/2021,belgium,5,55.8663077,-4.263900066705968,50.6402809,4.6667145
10007794.0,The University of Glasgow,2020/2021,belgium,45,55.87341905,-4.289052856658881,50.6402809,4.6667145
10002718.0,Goldsmiths College,2020/2021,belgium,25,51.47328395,-0.0366267475526088,50.6402809,4.6667145
10007146.0,The University of Greenwich,2020/2021,belgium,15,0.0,0.0,50.6402809,4.6667145
10007825.0,Guildhall School of Music and Drama,2020/2021,belgium,5,51.5195225,-0.0923747345451661,50.6402809,4.6667145
10080811.0,Hartpury University,2020/2021,belgium,5,0.0,0.0,50.6402809,4.6667145
10007764.0,Heriot-Watt University,2020/2021,belgium,20,55.91029585,-3.323447514558347,50.6402809,4.6667145
10007147.0,University of Hertfordshire,2020/2021,belgium,10,51.75174425,-0.2390497944594473,50.6402809,4.6667145
10007148.0,The University of Huddersfield,2020/2021,belgium,5,0.0,0.0,50.6402809,4.6667145
10007149.0,The University of Hull,2020/2021,belgium,5,53.7690324,-0.3674979,50.6402809,4.6667145
10003270.0,"Imperial College of Science, Technology and Medicine",2020/2021,belgium,105,0.0,0.0,50.6402809,4.6667145
10013220.0,Institute of Art - London Limited,2020/2021,belgium,5,0.0,0.0,50.6402809,4.6667145
10035638.0,Institute of Contemporary Music Performance,2020/2021,belgium,10,51.544477650000005,-0.2023217978406776,50.6402809,4.6667145
10007767.0,Keele University,2020/2021,belgium,5,53.0016756,-2.270694218876779,50.6402809,4.6667145
10007150.0,The University of Kent,2020/2021,belgium,55,51.29508745,1.0673312821552283,50.6402809,4.6667145
10003645.0,King's College London,2020/2021,belgium,190,51.50308545,-0.090002121148269,50.6402809,4.6667145
10003678.0,Kingston University,2020/2021,belgium,15,51.4030739,-0.3032181426130893,50.6402809,4.6667145
10007768.0,The University of Lancaster,2020/2021,belgium,20,54.0098429,-2.787576781958986,50.6402809,4.6667145
10003854.0,Leeds Arts University,2020/2021,belgium,5,53.80880495,-1.5511542789300523,50.6402809,4.6667145
10003861.0,Leeds Beckett University,2020/2021,belgium,5,53.826144150000005,-1.5933537200236456,50.6402809,4.6667145
10003798.0,Le Cordon Bleu Limited,2020/2021,belgium,5,0.0,0.0,50.6402809,4.6667145
10007795.0,The University of Leeds,2020/2021,belgium,30,53.8430407,-1.58866989583375,50.6402809,4.6667145
10007796.0,The University of Leicester,2020/2021,belgium,10,52.6082649,-1.081000558579433,50.6402809,4.6667145
10007151.0,The University of Lincoln,2020/2021,belgium,5,0.0,0.0,50.6402809,4.6667145
10003956.0,Liverpool Hope University,2020/2021,belgium,5,53.4129148,-2.968953655934631,50.6402809,4.6667145
10003957.0,Liverpool John Moores University,2020/2021,belgium,10,53.41238439999999,-2.980926958955171,50.6402809,4.6667145
10003945.0,The Liverpool Institute for Performing Arts,2020/2021,belgium,5,0.0,0.0,50.6402809,4.6667145
10006842.0,The University of Liverpool,2020/2021,belgium,10,0.0,0.0,50.6402809,4.6667145
10007162.0,"University of the Arts, London",2020/2021,belgium,75,51.51768525,-0.1163358438934449,50.6402809,4.6667145
10007769.0,London Business School,2020/2021,belgium,25,51.5263869,-0.1611521852618121,50.6402809,4.6667145
10007797.0,University of London (Institutes and activities),2020/2021,belgium,5,0.0,0.0,50.6402809,4.6667145
10004036.0,London Film School Limited,2020/2021,belgium,5,0.0,0.0,50.6402809,4.6667145
10004048.0,London Metropolitan University,2020/2021,belgium,25,51.5173823,-0.0883495992581633,50.6402809,4.6667145
10004078.0,London South Bank University,2020/2021,belgium,10,51.4977032,-0.1018088772029535,50.6402809,4.6667145
10004063.0,London School of Economics and Political Science,2020/2021,belgium,85,51.51459765,-0.1164219910462142,50.6402809,4.6667145
10007771.0,London School of Hygiene and Tropical Medicine,2020/2021,belgium,5,51.5209537,-0.1303714364457176,50.6402809,4.6667145
10004113.0,Loughborough University,2020/2021,belgium,40,52.763845,-1.237258153986855,50.6402809,4.6667145
10004180.0,The Manchester Metropolitan University,2020/2021,belgium,15,0.0,0.0,50.6402809,4.6667145
10007798.0,The University of Manchester,2020/2021,belgium,75,51.57236815,-1.3114536688023473,50.6402809,4.6667145
10009527.0,Istituto Marangoni Limited,2020/2021,belgium,5,0.0,0.0,50.6402809,4.6667145
10004351.0,Middlesex University,2020/2021,belgium,10,51.65912265,-0.1333415102521861,50.6402809,4.6667145
10007799.0,Newcastle University,2020/2021,belgium,20,54.98017505,-1.6146802127187847,50.6402809,4.6667145
10048199.0,Northeastern University London,2020/2021,belgium,5,51.5061905,-0.0715902,50.6402809,4.6667145
10001282.0,University of Northumbria at Newcastle,2020/2021,belgium,10,0.0,0.0,50.6402809,4.6667145
10007154.0,University of Nottingham,2020/2021,belgium,25,52.9387428,-1.2002956927457429,50.6402809,4.6667145
10004797.0,The Nottingham Trent University,2020/2021,belgium,10,52.95814555,-1.1545502016035694,50.6402809,4.6667145
10007773.0,The Open University,2020/2021,belgium,15,52.02453775,-0.7092748093945007,50.6402809,4.6667145
10004930.0,Oxford Brookes University,2020/2021,belgium,25,51.755223,-1.2301040395972822,50.6402809,4.6667145
10007774.0,The University of Oxford,2020/2021,belgium,85,51.7659214,-1.2631250075112073,50.6402809,4.6667145
10007801.0,University of Plymouth,2020/2021,belgium,10,50.3757001,-4.139378575455437,50.6402809,4.6667145
10019178.0,Point Blank Music School,2020/2021,belgium,5,0.0,0.0,50.6402809,4.6667145
10007155.0,The University of Portsmouth,2020/2021,belgium,10,50.7938881,-1.0978796,50.6402809,4.6667145
10005337.0,"Queen Margaret University, Edinburgh",2020/2021,belgium,5,0.0,0.0,50.6402809,4.6667145
10007775.0,Queen Mary University of London,2020/2021,belgium,45,51.52471385,-0.0393104428430625,50.6402809,4.6667145
10005470.0,"Richmond, The American International University in London",2020/2021,belgium,5,0.0,0.0,50.6402809,4.6667145
10007802.0,The University of Reading,2020/2021,belgium,15,56.4650368,-2.961257790665237,50.6402809,4.6667145
10086591.0,Regent's University London Limited,2020/2021,belgium,20,0.0,0.0,50.6402809,4.6667145
10005500.0,Robert Gordon University,2020/2021,belgium,5,57.1187364,-2.139306576766816,50.6402809,4.6667145
10007776.0,Roehampton University,2020/2021,belgium,5,51.4485315,-0.2440107112266461,50.6402809,4.6667145
10007835.0,Royal Academy of Music,2020/2021,belgium,5,51.52346355,-0.1518619331620812,50.6402809,4.6667145
10007777.0,Royal College of Art,2020/2021,belgium,10,51.4792809,-0.1704550872167491,50.6402809,4.6667145
10007778.0,Royal College of Music,2020/2021,belgium,5,51.499477600000006,-0.1771007182751799,50.6402809,4.6667145
10005561.0,Royal Conservatoire of Scotland,2020/2021,belgium,5,55.86638255,-4.257549087975787,50.6402809,4.6667145
10005553.0,Royal Holloway and Bedford New College,2020/2021,belgium,10,51.424449550000006,-0.5642561069587715,50.6402809,4.6667145
10007837.0,Royal Northern College of Music,2020/2021,belgium,5,53.46831975,-2.2372404920394158,50.6402809,4.6667145
10007779.0,The Royal Veterinary College,2020/2021,belgium,5,51.5368264,-0.1336157082913968,50.6402809,4.6667145
10007803.0,The University of St. Andrews,2020/2021,belgium,30,56.3429876,-2.7939691452666806,50.6402809,4.6667145
10007839.0,SAE Education Limited,2020/2021,belgium,5,0.0,0.0,50.6402809,4.6667145
10007843.0,"St Mary's University, Twickenham",2020/2021,belgium,5,51.4371611,-0.3361972,50.6402809,4.6667145
10007156.0,The University of Salford,2020/2021,belgium,5,53.48650835,-2.263828005883872,50.6402809,4.6667145
10007780.0,SOAS University of London,2020/2021,belgium,30,51.5218979,-0.1288676341954016,50.6402809,4.6667145
10007157.0,The University of Sheffield,2020/2021,belgium,25,53.3806759,-1.4840345,50.6402809,4.6667145
10006022.0,Solent University,2020/2021,belgium,5,50.9086815,-1.400516261132163,50.6402809,4.6667145
10007158.0,The University of Southampton,2020/2021,belgium,25,0.0,0.0,50.6402809,4.6667145
10006299.0,Staffordshire University,2020/2021,belgium,5,53.00947475,-2.1742692248780635,50.6402809,4.6667145
10007804.0,The University of Stirling,2020/2021,belgium,30,0.0,0.0,50.6402809,4.6667145
10037449.0,University of St Mark and St John,2020/2021,belgium,5,0.0,0.0,50.6402809,4.6667145
10007805.0,The University of Strathclyde,2020/2021,belgium,25,55.8618812,-4.241956565778082,50.6402809,4.6667145
10007160.0,The University of Surrey,2020/2021,belgium,30,0.0,0.0,50.6402809,4.6667145
10007806.0,The University of Sussex,2020/2021,belgium,60,0.0,0.0,50.6402809,4.6667145
10007855.0,Swansea University,2020/2021,belgium,30,51.6080596,-3.9773969,50.6402809,4.6667145
10008017.0,Trinity Laban Conservatoire of Music and Dance,2020/2021,belgium,10,51.4833429,-0.0069469,50.6402809,4.6667145
10007858.0,University of Wales Trinity Saint David,2020/2021,belgium,5,52.11313185,-4.075201674546898,50.6402809,4.6667145
10007114.0,University of the Highlands and Islands,2020/2021,belgium,5,0.0,0.0,50.6402809,4.6667145
10039956.0,The University of Law,2020/2021,belgium,10,51.520537,-0.1317372594285641,50.6402809,4.6667145
10007784.0,University College London,2020/2021,belgium,170,51.52420305,-0.1330007242592954,50.6402809,4.6667145
10007793.0,University of South Wales,2020/2021,belgium,5,51.5860894,-2.990616,50.6402809,4.6667145
10007163.0,The University of Warwick,2020/2021,belgium,85,34.072792994445145,-118.16620014398012,50.6402809,4.6667145
10007164.0,"University of the West of England, Bristol",2020/2021,belgium,10,51.50076785,-2.5503106339491204,50.6402809,4.6667145
10007800.0,The University of the West of Scotland,2020/2021,belgium,5,56.4583936,-2.97443952793637,50.6402809,4.6667145
10006566.0,The University of West London,2020/2021,belgium,25,51.5070185,-0.3028075365414086,50.6402809,4.6667145
10007165.0,The University of Westminster,2020/2021,belgium,25,51.5168987,-0.1433051680871159,50.6402809,4.6667145
10003614.0,The University of Winchester,2020/2021,belgium,5,51.0626897,-1.3328889649771818,50.6402809,4.6667145
10007166.0,The University of Wolverhampton,2020/2021,belgium,5,52.5719739,-1.9699298,50.6402809,4.6667145
10007139.0,University of Worcester,2020/2021,belgium,5,42.26866245,-71.81183596837596,50.6402809,4.6667145
10007713.0,York St John University,2020/2021,belgium,5,53.9653269,-1.0806968459195585,50.6402809,4.6667145
10007167.0,The University of York,2020/2021,belgium,25,40.80775585,-73.96161411567529,50.6402809,4.6667145
10007783.0,The University of Aberdeen,2020/2021,bulgaria,145,57.1639306,-2.100875776271873,42.6073975,25.4856617
10007849.0,Abertay University,2020/2021,bulgaria,60,56.4631526,-2.97467889452203,42.6073975,25.4856617
