ukprn,he_provider,year,country,students,school_lat,school_lon
10003854.0,Leeds Arts University,2020/2021,belgium,5,53.808804949999995,-1.5511542789300523
10003861.0,Leeds Beckett University,2020/2021,belgium,5,53.826144150000005,-1.5933537200236456
10007795.0,The University of Leeds,2020/2021,belgium,30,53.8430407,-1.58866989583375
10007796.0,The University of Leicester,2020/2021,belgium,10,52.608264899999995,-1.081000558579433
10003956.0,Liverpool Hope University,2020/2021,belgium,5,53.412914799999996,-2.968953655934631
10003957.0,Liverpool John Moores University,2020/2021,belgium,10,53.41238439999999,-2.980926958955171
10007162.0,"University of the Arts, London",2020/2021,belgium,75,51.51768525,-0.11633584389344499
10007769.0,London Business School,2020/2021,belgium,25,51.5263869,-0.16115218526181216
10004048.0,London Metropolitan University,2020/2021,belgium,25,51.517382299999994,-0.08834959925816331
10004078.0,London South Bank University,2020/2021,belgium,10,51.497703200000004,-0.10180887720295356
10004063.0,London School of Economics and Political Science,2020/2021,belgium,85,51.51459765,-0.11642199104621423
10007771.0,London School of Hygiene and Tropical Medicine,2020/2021,belgium,5,51.5209537,-0.13037143644571766
10004113.0,Loughborough University,2020/2021,belgium,40,52.763845,-1.237258153986855
10007798.0,The University of Manchester,2020/2021,belgium,75,51.57236815,-1.3114536688023473
10004351.0,Middlesex University,2020/2021,belgium,10,51.65912265,-0.13334151025218616
10007799.0,Newcastle University,2020/2021,belgium,20,54.98017505,-1.6146802127187847
10048199.0,Northeastern University London,2020/2021,belgium,5,51.5061905,-0.0715902
10007154.0,University of Nottingham,2020/2021,belgium,25,52.9387428,-1.2002956927457427
10004797.0,The Nottingham Trent University,2020/2021,belgium,10,52.95814555,-1.1545502016035694
10007773.0,The Open University,2020/2021,belgium,15,52.02453775,-0.7092748093945007
10004930.0,Oxford Brookes University,2020/2021,belgium,25,51.755223,-1.2301040395972822
10007774.0,The University of Oxford,2020/2021,belgium,85,51.765921399999996,-1.2631250075112073
10007801.0,University of Plymouth,2020/2021,belgium,10,50.3757001,-4.139378575455437
10007155.0,The University of Portsmouth,2020/2021,belgium,10,50.7938881,-1.0978796
10007775.0,Queen Mary University of London,2020/2021,belgium,45,51.52471385,-0.03931044284306251
10007802.0,The University of Reading,2020/2021,belgium,15,56.4650368,-2.961257790665237
10005500.0,Robert Gordon University,2020/2021,belgium,5,57.1187364,-2.139306576766816
10007776.0,Roehampton University,2020/2021,belgium,5,51.4485315,-0.24401071122664614
10007835.0,Royal Academy of Music,2020/2021,belgium,5,51.52346355,-0.15186193316208124
10007777.0,Royal College of Art,2020/2021,belgium,10,51.4792809,-0.17045508721674918
10007778.0,Royal College of Music,2020/2021,belgium,5,51.499477600000006,-0.17710071827517998
10005561.0,Royal Conservatoire of Scotland,2020/2021,belgium,5,55.86638255,-4.257549087975787
10005553.0,Royal Holloway and Bedford New College,2020/2021,belgium,10,51.424449550000006,-0.5642561069587715
10007837.0,Royal Northern College of Music,2020/2021,belgium,5,53.46831975,-2.2372404920394153
10007779.0,The Royal Veterinary College,2020/2021,belgium,5,51.536826399999995,-0.13361570829139682
10007803.0,The University of St. Andrews,2020/2021,belgium,30,56.3429876,-2.7939691452666806
10007843.0,"St Mary's University, Twickenham",2020/2021,belgium,5,51.4371611,-0.3361972
10007156.0,The University of Salford,2020/2021,belgium,5,53.48650835,-2.2638280058838722
10007780.0,SOAS University of London,2020/2021,belgium,30,51.5218979,-0.1288676341954016
10007157.0,The University of Sheffield,2020/2021,belgium,25,53.3806759,-1.4840345
10006022.0,Solent University,2020/2021,belgium,5,50.9086815,-1.4005162611321633
10006299.0,Staffordshire University,2020/2021,belgium,5,53.009474749999995,-2.1742692248780635
10007805.0,The University of Strathclyde,2020/2021,belgium,25,55.8618812,-4.241956565778082
10007160.0,The University of Surrey,2020/2021,belgium,30,51.24307815,-0.5900544877514773
10007855.0,Swansea University,2020/2021,belgium,30,51.6080596,-3.9773969
10008017.0,Trinity Laban Conservatoire of Music and Dance,2020/2021,belgium,10,51.4833429,-0.0069469
10007858.0,University of Wales Trinity Saint David,2020/2021,belgium,5,52.11313185,-4.075201674546898
10039956.0,The University of Law,2020/2021,belgium,10,51.520537000000004,-0.13173725942856418
10007784.0,University College London,2020/2021,belgium,170,51.52420305,-0.13300072425929543
10007793.0,University of South Wales,2020/2021,belgium,5,51.5860894,-2.990616
10007164.0,"University of the West of England, Bristol",2020/2021,belgium,10,51.50076785,-2.5503106339491204
10007800.0,The University of the West of Scotland,2020/2021,belgium,5,56.458393599999994,-2.97443952793637
10006566.0,The University of West London,2020/2021,belgium,25,51.5070185,-0.3028075365414086
10007165.0,The University of Westminster,2020/2021,belgium,25,51.5168987,-0.14330516808711596
10003614.0,The University of Winchester,2020/2021,belgium,5,51.0626897,-1.3328889649771818
10007166.0,The University of Wolverhampton,2020/2021,belgium,5,52.5719739,-1.9699298
10007713.0,York St John University,2020/2021,belgium,5,53.9653269,-1.0806968459195583
10007783.0,The University of Aberdeen,2020/2021,bulgaria,145,57.1639306,-2.100875776271873
10007849.0,Abertay University,2020/2021,bulgaria,60,56.4631526,-2.97467889452203
10007856.0,Aberystwyth University,2020/2021,bulgaria,25,52.41554955,-4.065054179671381
10000291.0,Anglia Ruskin University,2020/2021,bulgaria,60,52.20338815,0.1350225704824107
10007759.0,Aston University,2020/2021,bulgaria,20,52.48619045,-1.888468930261664
10007857.0,Bangor University,2020/2021,bulgaria,15,53.2300234,-4.13008199555879
10000571.0,Bath Spa University,2020/2021,bulgaria,5,51.374858,-2.438714578176041
10007152.0,University of Bedfordshire,2020/2021,bulgaria,50,51.877732449999996,-0.41005165765760376
10005343.0,Queen's University Belfast,2020/2021,bulgaria,5,54.5842881,-5.933656245995208
10037544.0,BIMM University,2020/2021,bulgaria,30,51.4795566,-0.1960698
10007760.0,Birkbeck College,2020/2021,bulgaria,20,51.52184485,-0.13021550670673807
10007140.0,Birmingham City University,2020/2021,bulgaria,40,52.4822706,-1.8888147987150585
10006840.0,The University of Birmingham,2020/2021,bulgaria,45,52.435015899999996,-1.947159562796694
10000712.0,University College Birmingham,2020/2021,bulgaria,30,52.481672,-1.9061374380791707
10004061.0,Bloomsbury Institute,2020/2021,bulgaria,5,51.5116948,-0.117442
10006841.0,The University of Bolton,2020/2021,bulgaria,20,53.57142575,-2.4264782591265446
10000385.0,The Arts University Bournemouth,2020/2021,bulgaria,40,50.7418816,-1.8976735
10000824.0,Bournemouth University,2020/2021,bulgaria,65,50.7226231,-1.8641233438403426
10031982.0,BPP University,2020/2021,bulgaria,5,51.50537905,-0.22337950306706675
10007786.0,The University of Bristol,2020/2021,bulgaria,30,51.50076785,-2.5503106339491204
10000961.0,Brunel University London,2020/2021,bulgaria,25,51.5326092,-0.47404989072672915
10000975.0,Buckinghamshire New University,2020/2021,bulgaria,25,51.62782205,-0.75343598276741
10007787.0,The University of Buckingham,2020/2021,bulgaria,5,52.0244524,-0.7378417452243633
10007788.0,The University of Cambridge,2020/2021,bulgaria,45,52.1867003,0.13650796363903167
10001143.0,Canterbury Christ Church University,2020/2021,bulgaria,30,51.279182399999996,1.0903628318027239
10007814.0,Cardiff University,2020/2021,bulgaria,85,51.4886911,-3.1794825
