ukprn,he_provider,year,country,students
10007147,University of Hertfordshire,2020/2021,belgium,10
10007148,The University of Huddersfield,2020/2021,belgium,5
10007149,The University of Hull,2020/2021,belgium,5
10003270,"Imperial College of Science, Technology and Medicine",2020/2021,belgium,105
10013220,Institute of Art - London Limited,2020/2021,belgium,5
10035638,Institute of Contemporary Music Performance,2020/2021,belgium,10
10007767,Keele University,2020/2021,belgium,5
10007150,The University of Kent,2020/2021,belgium,55
10003645,King's College London,2020/2021,belgium,190
10003678,Kingston University,2020/2021,belgium,15
10007768,The University of Lancaster,2020/2021,belgium,20
10003854,Leeds Arts University,2020/2021,belgium,5
10003861,Leeds Beckett University,2020/2021,belgium,5
10003798,Le Cordon Bleu Limited,2020/2021,belgium,5
10007795,The University of Leeds,2020/2021,belgium,30
10007796,The University of Leicester,2020/2021,belgium,10
10007151,The University of Lincoln,2020/2021,belgium,5
10003956,Liverpool Hope University,2020/2021,belgium,5
10003957,Liverpool John Moores University,2020/2021,belgium,10
10003945,The Liverpool Institute for Performing Arts,2020/2021,belgium,5
10006842,The University of Liverpool,2020/2021,belgium,10
10007162,"University of the Arts, London",2020/2021,belgium,75
10007769,London Business School,2020/2021,belgium,25
10007797,University of London (Institutes and activities),2020/2021,belgium,5
10004036,London Film School Limited,2020/2021,belgium,5
10004048,London Metropolitan University,2020/2021,belgium,25
10004078,London South Bank University,2020/2021,belgium,10
10004063,London School of Economics and Political Science,2020/2021,belgium,85
10007771,London School of Hygiene and Tropical Medicine,2020/2021,belgium,5
10004113,Loughborough University,2020/2021,belgium,40
10004180,The Manchester Metropolitan University,2020/2021,belgium,15
10007798,The University of Manchester,2020/2021,belgium,75
10009527,Istituto Marangoni Limited,2020/2021,belgium,5
10004351,Middlesex University,2020/2021,belgium,10
10007799,Newcastle University,2020/2021,belgium,20
10048199,Northeastern University London,2020/2021,belgium,5
10001282,University of Northumbria at Newcastle,2020/2021,belgium,10
10007154,University of Nottingham,2020/2021,belgium,25
10004797,The Nottingham Trent University,2020/2021,belgium,10
10007773,The Open University,2020/2021,belgium,15
10004930,Oxford Brookes University,2020/2021,belgium,25
10007774,The University of Oxford,2020/2021,belgium,85
10007801,University of Plymouth,2020/2021,belgium,10
10019178,Point Blank Music School,2020/2021,belgium,5
10007155,The University of Portsmouth,2020/2021,belgium,10
10005337,"Queen Margaret University, Edinburgh",2020/2021,belgium,5
10007775,Queen Mary University of London,2020/2021,belgium,45
10005470,"Richmond, The American International University in London",2020/2021,belgium,5
10007802,The University of Reading,2020/2021,belgium,15
10086591,Regent's University London Limited,2020/2021,belgium,20
10005500,Robert Gordon University,2020/2021,belgium,5
10007776,Roehampton University,2020/2021,belgium,5
10007835,Royal Academy of Music,2020/2021,belgium,5
10007777,Royal College of Art,2020/2021,belgium,10
10007778,Royal College of Music,2020/2021,belgium,5
10005561,Royal Conservatoire of Scotland,2020/2021,belgium,5
10005553,Royal Holloway and Bedford New College,2020/2021,belgium,10
10007837,Royal Northern College of Music,2020/2021,belgium,5
10007779,The Royal Veterinary College,2020/2021,belgium,5
10007803,The University of St. Andrews,2020/2021,belgium,30
10007839,SAE Education Limited,2020/2021,belgium,5
10007843,"St Mary's University, Twickenham",2020/2021,belgium,5
10007156,The University of Salford,2020/2021,belgium,5
10007780,SOAS University of London,2020/2021,belgium,30
10007157,The University of Sheffield,2020/2021,belgium,25
10006022,Solent University,2020/2021,belgium,5
10007158,The University of Southampton,2020/2021,belgium,25
10006299,Staffordshire University,2020/2021,belgium,5
10007804,The University of Stirling,2020/2021,belgium,30
10037449,University of St Mark and St John,2020/2021,belgium,5
10007805,The University of Strathclyde,2020/2021,belgium,25
10007160,The University of Surrey,2020/2021,belgium,30
10007806,The University of Sussex,2020/2021,belgium,60
10007855,Swansea University,2020/2021,belgium,30
10008017,Trinity Laban Conservatoire of Music and Dance,2020/2021,belgium,10
10007858,University of Wales Trinity Saint David,2020/2021,belgium,5
10007114,University of the Highlands and Islands,2020/2021,belgium,5
10039956,The University of Law,2020/2021,belgium,10
10007784,University College London,2020/2021,belgium,170
10007793,University of South Wales,2020/2021,belgium,5
10007163,The University of Warwick,2020/2021,belgium,85
10007164,"University of the West of England, Bristol",2020/2021,belgium,10
10007800,The University of the West of Scotland,2020/2021,belgium,5
10006566,The University of West London,2020/2021,belgium,25
10007165,The University of Westminster,2020/2021,belgium,25
10003614,The University of Winchester,2020/2021,belgium,5
10007166,The University of Wolverhampton,2020/2021,belgium,5
10007139,University of Worcester,2020/2021,belgium,5
10007713,York St John University,2020/2021,belgium,5
10007167,The University of York,2020/2021,belgium,25
10007783,The University of Aberdeen,2020/2021,bulgaria,145
10007849,Abertay University,2020/2021,bulgaria,60
10007856,Aberystwyth University,2020/2021,bulgaria,25
10067853,ACM Guildford Limited,2020/2021,bulgaria,5
10000291,Anglia Ruskin University,2020/2021,bulgaria,60
10003212,Hult International Business School Ltd,2020/2021,bulgaria,5
10007759,Aston University,2020/2021,bulgaria,20
10007857,Bangor University,2020/2021,bulgaria,15
10000571,Bath Spa University,2020/2021,bulgaria,5
10007850,The University of Bath,2020/2021,bulgaria,70
10007152,University of Bedfordshire,2020/2021,bulgaria,50
10005343,Queen's University Belfast,2020/2021,bulgaria,5
10037544,BIMM University,2020/2021,bulgaria,30
10007760,Birkbeck College,2020/2021,bulgaria,20
